"","day","points","team"
"1",10,21,"barcelona"
"2",11,24,"barcelona"
"3",12,24,"barcelona"
"4",13,25,"barcelona"
"5",14,28,"barcelona"
"6",15,31,"barcelona"
"7",16,34,"barcelona"
"8",17,37,"barcelona"
"9",18,40,"barcelona"
"10",19,43,"barcelona"
"11",20,46,"barcelona"
"12",21,49,"barcelona"
"13",22,50,"barcelona"
"14",23,51,"barcelona"
"15",24,54,"barcelona"
"16",10,19,"atletico"
"17",11,20,"atletico"
"18",12,23,"atletico"
"19",13,24,"atletico"
"20",14,25,"atletico"
"21",15,28,"atletico"
"22",16,31,"atletico"
"23",17,34,"atletico"
"24",18,35,"atletico"
"25",19,38,"atletico"
"26",20,41,"atletico"
"27",21,44,"atletico"
"28",22,44,"atletico"
"29",23,44,"atletico"
"30",24,47,"atletico"
"31",10,14,"real"
"32",11,17,"real"
"33",12,20,"real"
"34",13,20,"real"
"35",14,23,"real"
"36",15,26,"real"
"37",16,29,"real"
"38",17,30,"real"
"39",18,30,"real"
"40",19,33,"real"
"41",20,36,"real"
"42",21,39,"real"
"43",22,42,"real"
"44",23,45,"real"
"45",24,45,"real"
