Name	Nationality	Dist1	Dist2	Total
Eisenbichler M.	GER	131.5	135.5	279.4
Geiger K.	GER	131	130.5	267.3
Peier K.	SUI	131	129.5	266.1
Kobayashi R.	JPN	133.5	126.5	262
Stoch K.	POL	128.5	129.5	259.4
Kraft S.	AUT	130	126.5	256.1
Forfang J.	NOR	132.5	125.5	250.9
Johansson R.	NOR	128	129	248.9
Freitag R.	GER	125.5	129.5	248.7
Zajc T.	SLO	127	124	245.5
Huber D.	AUT	126	125.5	242
Kubacki D.	POL	128.5	125.5	240.2
Aschenwald P.	AUT	120	128	239.9
Hayboeck M.	AUT	122	125.5	233.7
Ammann S.	SUI	122.5	126	230.6
Prevc P.	SLO	123.5	122	230.5
Kobayashi J.	JPN	116	132	230
Klimov E.	RUS	126.5	121	229.1
Zyla P.	POL	128.5	121	228.7
Ito D.	JPN	119	126	225.7
Sato Y.	JPN	120	124	221.4
Koudelka R.	CZE	120.5	120.5	220.1
Jelar Z.	SLO	118.5	121	219.8
Fettner M.	AUT	117.5	122.5	219
Polasek V.	CZE	120	117.5	218.2
Schuler A.	SUI	117.5	119	212.6
Boyd-Clowes M.	CAN	117	118.5	212.1
Learoyd J.	FRA	116.5	116.5	205.9
Stjernen A.	NOR	124.5	102	185.5
Zografski V.	BUL	117	0	117
