"day","team","score"
10,"barcelona",21
11,"barcelona",24
12,"barcelona",24
13,"barcelona",25
14,"barcelona",28
15,"barcelona",31
16,"barcelona",34
17,"barcelona",37
18,"barcelona",40
19,"barcelona",43
20,"barcelona",46
21,"barcelona",49
22,"barcelona",50
23,"barcelona",51
24,"barcelona",54
10,"atletico",19
11,"atletico",20
12,"atletico",23
13,"atletico",24
14,"atletico",25
15,"atletico",28
16,"atletico",31
17,"atletico",34
18,"atletico",35
19,"atletico",38
20,"atletico",41
21,"atletico",44
22,"atletico",44
23,"atletico",44
24,"atletico",47
10,"real",14
11,"real",17
12,"real",20
13,"real",20
14,"real",23
15,"real",26
16,"real",29
17,"real",30
18,"real",30
19,"real",33
20,"real",36
21,"real",39
22,"real",42
23,"real",45
24,"real",45
