"death"	"birth"	"continent"
7.7	34.1	"Asia"
9.4	12.9	"Europe"
5.7	24.3	"Africa"
8.4	8.9	"Europe"
13.9	44.1	"Africa"
6.8	16.5	"Americas"
7.6	16.8	"Americas"
12.6	13.7	"Asia"
6.4	13.2	"Oceania"
9	9.5	"Europe"
6.3	17.8	"Asia"
6.1	15.3	"Americas"
2.2	15.2	"Asia"
5.7	20	"Asia"
6.4	12.7	"Americas"
13.5	11	"Europe"
9.9	11.7	"Europe"
4	23.4	"Americas"
9.6	36.4	"Africa"
6.5	19.6	"Asia"
9.4	9	"Europe"
7.2	23.6	"Africa"
6.1	14.9	"Americas"
3.6	15.5	"Asia"
14.2	9.6	"Europe"
9.5	40.9	"Africa"
11.1	44.7	"Africa"
5.2	20.1	"Africa"
5.7	25.7	"Asia"
10.8	37.3	"Africa"
7.2	11.3	"Americas"
14	34.2	"Africa"
13.6	45.9	"Africa"
5.4	13.9	"Americas"
7.2	13.3	"Asia"
4.2	18.8	"Americas"
8.2	35.2	"Africa"
10.1	37.6	"Africa"
5	14.9	"Oceania"
4.4	15.1	"Americas"
11.1	9.5	"Europe"
8.5	9.5	"Americas"
5.5	11.5	"Asia"
10	11.1	"Europe"
9.6	11.3	"Europe"
8.8	27.5	"Africa"
7.2	15.6	"Americas"
5.9	20.8	"Americas"
5.3	20.8	"Americas"
6.4	23.2	"Africa"
6.6	20.1	"Americas"
11.5	35.4	"Africa"
6.3	36.7	"Africa"
11.3	10.9	"Europe"
7.2	33	"Africa"
6.9	20.4	"Oceania"
9.4	11.2	"Europe"
8.7	12.3	"Europe"
9	31.9	"Africa"
8.2	42.7	"Africa"
11.5	13.3	"Asia"
10.6	8.5	"Europe"
8.1	30.9	"Africa"
9.7	9.7	"Europe"
6.9	19.3	"Americas"
5.2	31	"Americas"
10.1	36.9	"Africa"
12.3	37.5	"Africa"
7.9	20.3	"Americas"
8.6	25.6	"Americas"
4.5	25.8	"Americas"
13	9.9	"Europe"
6.2	14.5	"Europe"
7.9	20.4	"Asia"
6.2	18.8	"Asia"
5.1	18.8	"Asia"
4.8	31.1	"Asia"
5.9	15.4	"Europe"
5.1	20.3	"Asia"
9.5	9.2	"Europe"
7.1	18	"Americas"
9.5	8.4	"Asia"
3.7	27	"Asia"
9.7	20.5	"Asia"
8.3	34.9	"Africa"
8.2	23.3	"Oceania"
5.5	9.6	"Asia"
1.9	20.6	"Asia"
6.6	27.1	"Asia"
6.7	26.8	"Asia"
14.2	11	"Europe"
4.4	13.4	"Asia"
14.1	27.5	"Africa"
8	35.5	"Africa"
4.2	20.7	"Africa"
12	11.3	"Europe"
6.8	11.6	"Europe"
7	34.7	"Africa"
9	39.8	"Africa"
5	17.7	"Asia"
3.5	22	"Asia"
11.2	47.1	"Africa"
7.5	9.2	"Europe"
6.6	27.2	"Oceania"
7.8	34.1	"Africa"
7.4	11.5	"Africa"
5.3	18.4	"Americas"
8.7	6.8	"Europe"
6.7	22.7	"Asia"
9.5	11.6	"Europe"
6.4	22.7	"Africa"
11.8	38.9	"Africa"
8.4	17.2	"Asia"
5.7	26	"Africa"
3.5	26.4	"Oceania"
6.6	21	"Asia"
8.3	10.7	"Europe"
6.3	13.8	"Oceania"
4.8	22.7	"Americas"
10.2	49.7	"Africa"
11.9	41.2	"Africa"
5.9	NA	"Oceania"
8.1	12.4	"Europe"
2.8	20.9	"Asia"
7.3	25.2	"Asia"
5.9	10.9	"Oceania"
5	19.4	"Americas"
7.7	28.9	"Oceania"
4.8	23.7	"Americas"
4.4	19.7	"Americas"
5.9	24.4	"Asia"
10	10.8	"Europe"
9.1	8.7	"Europe"
1.3	11	"Asia"
11.8	10.3	"Europe"
14.8	11.8	"Europe"
6.4	35.2	"Africa"
8.5	13.8	"Americas"
7	15.4	"Americas"
6.5	16.3	"Americas"
5.2	26.2	"Oceania"
10.2	8.8	"Europe"
6.5	33.9	"Africa"
3.2	19.4	"Asia"
7	37.7	"Africa"
11.9	9.7	"Europe"
6.7	16.6	"Africa"
16.8	36.6	"Africa"
4.5	9.9	"Asia"
9.4	10.7	"Europe"
9.1	10	"Europe"
5.4	30.8	"Oceania"
12.7	43.8	"Africa"
11.1	20.9	"Africa"
11.1	36.1	"Africa"
8.2	10.4	"Europe"
6.6	17.9	"Asia"
7.8	33.5	"Africa"
4.6	17.7	"Americas"
11.8	29.9	"Africa"
9.6	12	"Europe"
7.7	10.4	"Europe"
3.5	24	"Asia"
6	33	"Asia"
7.6	10.2	"Asia"
6	35.8	"Asia"
9.6	36.4	"Africa"
6.7	25.5	"Oceania"
9.6	14.5	"Americas"
5.5	17.2	"Africa"
5.7	16.8	"Asia"
8.8	21.3	"Asia"
8.7	23.6	"Oceania"
9.2	43.2	"Africa"
15.1	10.8	"Europe"
1.1	14.5	"Asia"
8.9	12.2	"Europe"
8.4	13.2	"Americas"
9.1	14.5	"Americas"
6.4	21.5	"Asia"
4.5	26.6	"Oceania"
5.8	15.5	"Asia"
6.7	31.1	"Asia"
9.7	42.8	"Africa"
9.8	31.3	"Africa"
