"birthRate","deathRate","continent"
34.1,7.7,"Asia"
12.9,9.4,"Europe"
24.3,5.7,"Africa"
8.9,8.4,"Europe"
44.1,13.9,"Africa"
16.5,6.8,"Americas"
16.8,7.6,"Americas"
13.7,12.6,"Asia"
13.2,6.4,"Oceania"
9.5,9,"Europe"
17.8,6.3,"Asia"
15.3,6.1,"Americas"
15.2,2.2,"Asia"
20,5.7,"Asia"
12.7,6.4,"Americas"
11,13.5,"Europe"
11.7,9.9,"Europe"
23.4,4,"Americas"
36.4,9.6,"Africa"
19.6,6.5,"Asia"
9,9.4,"Europe"
23.6,7.2,"Africa"
14.9,6.1,"Americas"
15.5,3.6,"Asia"
9.6,14.2,"Europe"
40.9,9.5,"Africa"
44.7,11.1,"Africa"
20.1,5.2,"Africa"
25.7,5.7,"Asia"
37.3,10.8,"Africa"
11.3,7.2,"Americas"
34.2,14,"Africa"
45.9,13.6,"Africa"
13.9,5.4,"Americas"
13.3,7.2,"Asia"
18.8,4.2,"Americas"
35.2,8.2,"Africa"
37.6,10.1,"Africa"
14.9,5,"Oceania"
15.1,4.4,"Americas"
9.5,11.1,"Europe"
9.5,8.5,"Americas"
11.5,5.5,"Asia"
11.1,10,"Europe"
11.3,9.6,"Europe"
27.5,8.8,"Africa"
15.6,7.2,"Americas"
20.8,5.9,"Americas"
20.8,5.3,"Americas"
23.2,6.4,"Africa"
20.1,6.6,"Americas"
35.4,11.5,"Africa"
36.7,6.3,"Africa"
10.9,11.3,"Europe"
33,7.2,"Africa"
20.4,6.9,"Oceania"
11.2,9.4,"Europe"
12.3,8.7,"Europe"
31.9,9,"Africa"
42.7,8.2,"Africa"
13.3,11.5,"Asia"
8.5,10.6,"Europe"
30.9,8.1,"Africa"
9.7,9.7,"Europe"
19.3,6.9,"Americas"
31,5.2,"Americas"
36.9,10.1,"Africa"
37.5,12.3,"Africa"
20.3,7.9,"Americas"
25.6,8.6,"Americas"
25.8,4.5,"Americas"
9.9,13,"Europe"
14.5,6.2,"Europe"
20.4,7.9,"Asia"
18.8,6.2,"Asia"
18.8,5.1,"Asia"
31.1,4.8,"Asia"
15.4,5.9,"Europe"
20.3,5.1,"Asia"
9.2,9.5,"Europe"
18,7.1,"Americas"
8.4,9.5,"Asia"
27,3.7,"Asia"
20.5,9.7,"Asia"
34.9,8.3,"Africa"
23.3,8.2,"Oceania"
9.6,5.5,"Asia"
20.6,1.9,"Asia"
27.1,6.6,"Asia"
26.8,6.7,"Asia"
11,14.2,"Europe"
13.4,4.4,"Asia"
27.5,14.1,"Africa"
35.5,8,"Africa"
20.7,4.2,"Africa"
11.3,12,"Europe"
11.6,6.8,"Europe"
34.7,7,"Africa"
39.8,9,"Africa"
17.7,5,"Asia"
22,3.5,"Asia"
47.1,11.2,"Africa"
9.2,7.5,"Europe"
27.2,6.6,"Oceania"
34.1,7.8,"Africa"
11.5,7.4,"Africa"
18.4,5.3,"Americas"
6.8,8.7,"Europe"
22.7,6.7,"Asia"
11.6,9.5,"Europe"
22.7,6.4,"Africa"
38.9,11.8,"Africa"
17.2,8.4,"Asia"
26,5.7,"Africa"
26.4,3.5,"Oceania"
21,6.6,"Asia"
10.7,8.3,"Europe"
13.8,6.3,"Oceania"
22.7,4.8,"Americas"
49.7,10.2,"Africa"
41.2,11.9,"Africa"
NA,5.9,"Oceania"
12.4,8.1,"Europe"
20.9,2.8,"Asia"
25.2,7.3,"Asia"
10.9,5.9,"Oceania"
19.4,5,"Americas"
28.9,7.7,"Oceania"
23.7,4.8,"Americas"
19.7,4.4,"Americas"
24.4,5.9,"Asia"
10.8,10,"Europe"
8.7,9.1,"Europe"
11,1.3,"Asia"
10.3,11.8,"Europe"
11.8,14.8,"Europe"
35.2,6.4,"Africa"
13.8,8.5,"Americas"
15.4,7,"Americas"
16.3,6.5,"Americas"
26.2,5.2,"Oceania"
8.8,10.2,"Europe"
33.9,6.5,"Africa"
19.4,3.2,"Asia"
37.7,7,"Africa"
9.7,11.9,"Europe"
16.6,6.7,"Africa"
36.6,16.8,"Africa"
9.9,4.5,"Asia"
10.7,9.4,"Europe"
10,9.1,"Europe"
30.8,5.4,"Oceania"
43.8,12.7,"Africa"
20.9,11.1,"Africa"
36.1,11.1,"Africa"
10.4,8.2,"Europe"
17.9,6.6,"Asia"
33.5,7.8,"Africa"
17.7,4.6,"Americas"
29.9,11.8,"Africa"
12,9.6,"Europe"
10.4,7.7,"Europe"
24,3.5,"Asia"
33,6,"Asia"
10.2,7.6,"Asia"
35.8,6,"Asia"
36.4,9.6,"Africa"
25.5,6.7,"Oceania"
14.5,9.6,"Americas"
17.2,5.5,"Africa"
16.8,5.7,"Asia"
21.3,8.8,"Asia"
23.6,8.7,"Oceania"
43.2,9.2,"Africa"
10.8,15.1,"Europe"
14.5,1.1,"Asia"
12.2,8.9,"Europe"
13.2,8.4,"Americas"
14.5,9.1,"Americas"
21.5,6.4,"Asia"
26.6,4.5,"Oceania"
15.5,5.8,"Asia"
31.1,6.7,"Asia"
42.8,9.7,"Africa"
31.3,9.8,"Africa"
