"country","birthrate","deathrate","population","continent"
"Afghanistan",34.1,7.7,30552,"Asia"
"Albania",12.9,9.4,3173,"Europe"
"Algeria",24.3,5.7,39208,"Africa"
"Andorra",8.9,8.4,79,"Europe"
"Angola",44.1,13.9,21472,"Africa"
"Antigua and Barbuda",16.5,6.8,90,"Americas"
"Argentina",16.8,7.6,41446,"Americas"
"Armenia",13.7,12.6,2977,"Asia"
"Australia",13.2,6.4,23343,"Oceania"
"Austria",9.5,9,8495,"Europe"
"Azerbaijan",17.8,6.3,9413,"Asia"
"Bahamas",15.3,6.1,377,"Americas"
"Bahrain",15.2,2.2,1332,"Asia"
"Bangladesh",20,5.7,156595,"Asia"
"Barbados",12.7,6.4,285,"Americas"
"Belarus",11,13.5,9357,"Europe"
"Belgium",11.7,9.9,11104,"Europe"
"Belize",23.4,4,332,"Americas"
"Benin",36.4,9.6,10323,"Africa"
"Bhutan",19.6,6.5,754,"Asia"
"Bosnia and Herzegovina",9,9.4,3829,"Europe"
"Botswana",23.6,7.2,2021,"Africa"
"Brazil",14.9,6.1,200362,"Americas"
"Brunei Darussalam",15.5,3.6,418,"Asia"
"Bulgaria",9.6,14.2,7223,"Europe"
"Burkina Faso",40.9,9.5,16935,"Africa"
"Burundi",44.7,11.1,10163,"Africa"
"Cabo Verde",20.1,5.2,499,"Africa"
"Cambodia",25.7,5.7,15135,"Asia"
"Cameroon",37.3,10.8,22254,"Africa"
"Canada",11.3,7.2,35182,"Americas"
"Central African Republic",34.2,14,4616,"Africa"
"Chad",45.9,13.6,12825,"Africa"
"Chile",13.9,5.4,17620,"Americas"
"China",13.3,7.2,1393337,"Asia"
"Colombia",18.8,4.2,48321,"Americas"
"Comoros",35.2,8.2,735,"Africa"
"Congo",37.6,10.1,4448,"Africa"
"Cook Islands",14.9,5,21,"Oceania"
"Costa Rica",15.1,4.4,4872,"Americas"
"Croatia",9.5,11.1,4290,"Europe"
"Cuba",9.5,8.5,11266,"Americas"
"Cyprus",11.5,5.5,1141,"Asia"
"Czech Republic",11.1,10,10702,"Europe"
"Denmark",11.3,9.6,5619,"Europe"
"Djibouti",27.5,8.8,873,"Africa"
"Dominica",15.6,7.2,72,"Americas"
"Dominican Republic",20.8,5.9,10404,"Americas"
"Ecuador",20.8,5.3,15738,"Americas"
"Egypt",23.2,6.4,82056,"Africa"
"El Salvador",20.1,6.6,6340,"Americas"
"Equatorial Guinea",35.4,11.5,757,"Africa"
"Eritrea",36.7,6.3,6333,"Africa"
"Estonia",10.9,11.3,1287,"Europe"
"Ethiopia",33,7.2,94101,"Africa"
"Fiji",20.4,6.9,881,"Oceania"
"Finland",11.2,9.4,5426,"Europe"
"France",12.3,8.7,64291,"Europe"
"Gabon",31.9,9,1672,"Africa"
"Gambia",42.7,8.2,1849,"Africa"
"Georgia",13.3,11.5,4341,"Asia"
"Germany",8.5,10.6,82727,"Europe"
"Ghana",30.9,8.1,25905,"Africa"
"Greece",9.7,9.7,11128,"Europe"
"Grenada",19.3,6.9,106,"Americas"
"Guatemala",31,5.2,15468,"Americas"
"Guinea",36.9,10.1,11745,"Africa"
"Guinea-Bissau",37.5,12.3,1704,"Africa"
"Guyana",20.3,7.9,800,"Americas"
"Haiti",25.6,8.6,10317,"Americas"
"Honduras",25.8,4.5,8098,"Americas"
"Hungary",9.9,13,9955,"Europe"
"Iceland",14.5,6.2,330,"Europe"
"India",20.4,7.9,1252140,"Asia"
"Indonesia",18.8,6.2,249866,"Asia"
"Iran, Islamic Republic of",18.8,5.1,77447,"Asia"
"Iraq",31.1,4.8,33765,"Asia"
"Ireland",15.4,5.9,4627,"Europe"
"Israel",20.3,5.1,7733,"Asia"
"Italy",9.2,9.5,60990,"Europe"
"Jamaica",18,7.1,2784,"Americas"
"Japan",8.4,9.5,127144,"Asia"
"Jordan",27,3.7,7274,"Asia"
"Kazakhstan",20.5,9.7,16441,"Asia"
"Kenya",34.9,8.3,44354,"Africa"
"Kiribati",23.3,8.2,102,"Oceania"
"Korea, Republic of",9.6,5.5,49263,"Asia"
"Kuwait",20.6,1.9,3369,"Asia"
"Kyrgyzstan",27.1,6.6,5548,"Asia"
"Lao People's Democratic Republic",26.8,6.7,6770,"Asia"
"Latvia",11,14.2,2050,"Europe"
"Lebanon",13.4,4.4,4822,"Asia"
"Lesotho",27.5,14.1,2074,"Africa"
"Liberia",35.5,8,4294,"Africa"
"Libya",20.7,4.2,6202,"Africa"
"Lithuania",11.3,12,3017,"Europe"
"Luxembourg",11.6,6.8,530,"Europe"
"Madagascar",34.7,7,22925,"Africa"
"Malawi",39.8,9,16363,"Africa"
"Malaysia",17.7,5,29717,"Asia"
"Maldives",22,3.5,345,"Asia"
"Mali",47.1,11.2,15302,"Africa"
"Malta",9.2,7.5,429,"Europe"
"Marshall Islands",27.2,6.6,53,"Oceania"
"Mauritania",34.1,7.8,3890,"Africa"
"Mauritius",11.5,7.4,1244,"Africa"
"Mexico",18.4,5.3,122332,"Americas"
"Monaco",6.8,8.7,38,"Europe"
"Mongolia",22.7,6.7,2839,"Asia"
"Montenegro",11.6,9.5,621,"Europe"
"Morocco",22.7,6.4,33008,"Africa"
"Mozambique",38.9,11.8,25834,"Africa"
"Myanmar",17.2,8.4,53259,"Asia"
"Namibia",26,5.7,2303,"Africa"
"Nauru",26.4,3.5,10,"Oceania"
"Nepal",21,6.6,27797,"Asia"
"Netherlands",10.7,8.3,16759,"Europe"
"New Zealand",13.8,6.3,4506,"Oceania"
"Nicaragua",22.7,4.8,6080,"Americas"
"Niger",49.7,10.2,17831,"Africa"
"Nigeria",41.2,11.9,173615,"Africa"
"Niue",NA,5.9,1,"Oceania"
"Norway",12.4,8.1,5043,"Europe"
"Oman",20.9,2.8,3632,"Asia"
"Pakistan",25.2,7.3,182143,"Asia"
"Palau",10.9,5.9,21,"Oceania"
"Panama",19.4,5,3864,"Americas"
"Papua New Guinea",28.9,7.7,7321,"Oceania"
"Paraguay",23.7,4.8,6802,"Americas"
"Peru",19.7,4.4,30376,"Americas"
"Philippines",24.4,5.9,98394,"Asia"
"Poland",10.8,10,38217,"Europe"
"Portugal",8.7,9.1,10608,"Europe"
"Qatar",11,1.3,2169,"Asia"
"Romania",10.3,11.8,21699,"Europe"
"Russian Federation",11.8,14.8,142834,"Europe"
"Rwanda",35.2,6.4,11777,"Africa"
"Saint Kitts and Nevis",13.8,8.5,54,"Americas"
"Saint Lucia",15.4,7,182,"Americas"
"Saint Vincent and the Grenadines",16.3,6.5,109,"Americas"
"Samoa",26.2,5.2,190,"Oceania"
"San Marino",8.8,10.2,31,"Europe"
"Sao Tome and Principe",33.9,6.5,193,"Africa"
"Saudi Arabia",19.4,3.2,28829,"Asia"
"Senegal",37.7,7,14133,"Africa"
"Serbia",9.7,11.9,9511,"Europe"
"Seychelles",16.6,6.7,93,"Africa"
"Sierra Leone",36.6,16.8,6092,"Africa"
"Singapore",9.9,4.5,5412,"Asia"
"Slovakia",10.7,9.4,5450,"Europe"
"Slovenia",10,9.1,2072,"Europe"
"Solomon Islands",30.8,5.4,561,"Oceania"
"Somalia",43.8,12.7,10496,"Africa"
"South Africa",20.9,11.1,52776,"Africa"
"South Sudan",36.1,11.1,11296,"Africa"
"Spain",10.4,8.2,46927,"Europe"
"Sri Lanka",17.9,6.6,21273,"Asia"
"Sudan",33.5,7.8,37964,"Africa"
"Suriname",17.7,4.6,539,"Americas"
"Swaziland",29.9,11.8,1250,"Africa"
"Sweden",12,9.6,9571,"Europe"
"Switzerland",10.4,7.7,8078,"Europe"
"Syrian Arab Republic",24,3.5,21898,"Asia"
"Tajikistan",33,6,8208,"Asia"
"Thailand",10.2,7.6,67010,"Asia"
"Timor-Leste",35.8,6,1133,"Asia"
"Togo",36.4,9.6,6817,"Africa"
"Tonga",25.5,6.7,105,"Oceania"
"Trinidad and Tobago",14.5,9.6,1341,"Americas"
"Tunisia",17.2,5.5,10997,"Africa"
"Turkey",16.8,5.7,74933,"Asia"
"Turkmenistan",21.3,8.8,5240,"Asia"
"Tuvalu",23.6,8.7,10,"Oceania"
"Uganda",43.2,9.2,37579,"Africa"
"Ukraine",10.8,15.1,45239,"Europe"
"United Arab Emirates",14.5,1.1,9346,"Asia"
"United Kingdom",12.2,8.9,63136,"Europe"
"United States",13.2,8.4,320051,"Americas"
"Uruguay",14.5,9.1,3407,"Americas"
"Uzbekistan",21.5,6.4,28934,"Asia"
"Vanuatu",26.6,4.5,253,"Oceania"
"Viet Nam",15.5,5.8,91680,"Asia"
"Yemen",31.1,6.7,24407,"Asia"
"Zambia",42.8,9.7,14539,"Africa"
"Zimbabwe",31.3,9.8,14150,"Africa"
